,date,name,href
15,"Mon, Jun. 29",Tesla seen topping Q2 deliveries expectations,https://seekingalpha.com/news/3586805-tesla-seen-topping-q2-deliveries-expectations?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:16
16,"Sun, Jun. 28",Sector Watch: Can Tesla deliveries lead autos as incentives wane?,https://seekingalpha.com/news/3586733-sector-watch-can-tesla-deliveries-lead-autos-incentives-wane?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:17
17,"Fri, Jun. 26",Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,https://seekingalpha.com/news/3586613-bezos-copycat-elon-musk-comments-on-amazons-zoox-purchase?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:18
18,"Fri, Jun. 26",Amazon drives into autonomous vehicle chase with Zoox acquisition,https://seekingalpha.com/news/3586522-amazon-drives-autonomous-vehicle-chase-zoox-acquisition?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:19
19,"Thu, Jun. 25",Tesla workers claim they were terminated for safety complaints,https://seekingalpha.com/news/3586227-tesla-workers-claim-terminated-for-safety-complaints?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:20
20,"Thu, Jun. 25",Stage is set for the 2021 Ford F-150,https://seekingalpha.com/news/3586003-stage-is-set-for-2021-ford-fminus-150?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:21
21,"Wed, Jun. 24",Dodge shocks with top overall quality marks from J.D. Power,https://seekingalpha.com/news/3585836-dodge-shocks-top-overall-quality-marks-from-j-d-power?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:22
22,"Wed, Jun. 24",NHTSA probes Tesla over Model S touchscreens,https://seekingalpha.com/news/3585739-nhtsa-probes-tesla-over-model-s-touchscreens?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:23
23,"Tue, Jun. 23",Wait for a better entry point on Tesla - Morgan Stanley,https://seekingalpha.com/news/3585362-wait-for-better-entry-point-on-tesla-morgan-stanley?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:24
24,"Tue, Jun. 23",Nevada supports clean car program,https://seekingalpha.com/news/3585272-nevada-supports-clean-car-program?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:25
25,"Mon, Jun. 22",Cybertruck expected to hit the market strong,https://seekingalpha.com/news/3585157-cybertruck-expected-to-hit-market-strong?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:26
26,"Mon, Jun. 22",Tesla expected to offer 7-seat Model Y,https://seekingalpha.com/news/3584843-tesla-expected-to-offer-7-seat-model-y?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:27
27,"Sat, Jun. 20","Tesla will postpone annual meeting, Musk says",https://seekingalpha.com/news/3584749-tesla-will-postpone-annual-meeting-musk-says?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:28
28,"Fri, Jun. 19",J.P. Morgan favors these names for the stunning auto-sales recovery,https://seekingalpha.com/news/3584727-j-p-morgan-favors-names-for-stunning-auto-sales-recovery?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:Archived|line:29
29,"Fri, Jun. 19",JPMorgan pitches a tent in the Tesla bear camp,https://seekingalpha.com/news/3584603-jpmorgan-pitches-tent-in-tesla-bear-camp?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:30
30,"Fri, Jun. 19",BMW and Mercedes go down different self-driving roads,https://seekingalpha.com/news/3584494-bmw-and-mercedes-go-down-different-self-driving-roads?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:31
31,"Thu, Jun. 18",Tesla pushes for sweet deal in Texas,https://seekingalpha.com/news/3584284-tesla-pushes-for-sweet-deal-in-texas?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:32
32,"Thu, Jun. 18",Tesla widening the gap with peers - Jefferies,https://seekingalpha.com/news/3584195-tesla-widening-gap-peers-jefferies?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:33
33,"Thu, Jun. 18",Board drama at Tesla as shares near $1K again,https://seekingalpha.com/news/3584088-board-drama-tesla-shares-near-1k-again?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:34
34,"Wed, Jun. 17",Tesla gets a pass for drop in California demand,https://seekingalpha.com/news/3583842-tesla-gets-pass-for-drop-in-california-demand?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:35
35,"Wed, Jun. 17","Tesla's California registrations fell 37% in recent months, the WSJ reports",https://seekingalpha.com/news/3583742-teslas-california-registrations-fell-37-in-recent-months-wsj-reports?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:36
36,"Tue, Jun. 16",Model Y complaints start to stack up,https://seekingalpha.com/news/3583601-model-y-complaints-start-to-stack-up?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:37
37,"Tue, Jun. 16",Glencore to sell cobalt to Tesla for new car plants - FT,https://seekingalpha.com/news/3583333-glencore-to-sell-cobalt-to-tesla-for-new-car-plants-ft?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:38
38,"Mon, Jun. 15",Austin closes in on Tesla plant offer,https://seekingalpha.com/news/3583129-austin-closes-in-on-tesla-plant-offer?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:39
39,"Mon, Jun. 15",Biggest increase in three years for EV charging points,https://seekingalpha.com/news/3582859-biggest-increase-in-three-years-for-ev-charging-points?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:40
40,"Mon, Jun. 15",Main Street has killed Wall Street during this rally. Here are the stocks they're buying,https://seekingalpha.com/news/3582858-main-street-killed-wall-street-during-this-rally-are-stocks-buying?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:41
41,"Sat, Jun. 13",EV semis move toward proof of concept,https://seekingalpha.com/news/3582826-ev-semis-move-toward-proof-of-concept?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:42
42,"Fri, Jun. 12","Tesla cut at Morgan Stanley on Amazon, China risk",https://seekingalpha.com/news/3582602-tesla-cut-morgan-stanley-on-amazon-china-risk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:43
43,"Fri, Jun. 12",GM over Tesla for the near term - Goldman Sachs,https://seekingalpha.com/news/3582550-gm-over-tesla-for-near-term-goldman-sachs?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:44
44,"Thu, Jun. 11",Nowhere to hide in auto sector today,https://seekingalpha.com/news/3582369-nowhere-to-hide-in-auto-sector-today?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:45
45,"Thu, Jun. 11",China Model 3s approved with LFP batteries,https://seekingalpha.com/news/3582162-china-model-3s-approved-lfp-batteries?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:46
46,"Wed, Jun. 10","Tesla tops $1,000",https://seekingalpha.com/news/3581925-tesla-tops-1000?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:47
47,"Wed, Jun. 10","Tesla nears $1,000 as investors eye Semi, China potential",https://seekingalpha.com/news/3581845-tesla-nears-1000-investors-eye-semi-china-potential?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:48
48,"Wed, Jun. 10",Tesla tagged with higher price target at Wedbush,https://seekingalpha.com/news/3581813-tesla-tagged-higher-price-target-wedbush?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:49
49,"Tue, Jun. 09",Time for a Nikola Tesla ETF?,https://seekingalpha.com/news/3581562-time-for-nikola-tesla-etf?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:50
50,"Tue, Jun. 09",Tesla just getting started - Ron Baron,https://seekingalpha.com/news/3581465-tesla-just-getting-started-ron-baron?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:51
51,"Tue, Jun. 09",Musk says Model Y facing production and supply chain issues,https://seekingalpha.com/news/3581370-musk-says-model-y-facing-production-and-supply-chain-issues?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:52
52,"Mon, Jun. 08",Tesla +4% on strong bullish vibe,https://seekingalpha.com/news/3581157-teslaplus-4-on-strong-bullish-vibe?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:53
53,"Mon, Jun. 08",Tesla China model 3 sales volume triples in May,https://seekingalpha.com/news/3581005-tesla-china-model-3-sales-volume-triples-in-may?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:54
54,"Thu, Jun. 04","Tesla's Musk throws down on Amazon, calls for breakup",https://seekingalpha.com/news/3580558-teslas-musk-throws-down-on-amazon-calls-for-breakup?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:55
55,"Thu, Jun. 04",Siemens-AES JV plans massive Tesla-beating lithium ion batteries,https://seekingalpha.com/news/3580517-siemens-aes-jv-plans-massive-tesla-beating-lithium-ion-batteries?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:56
56,"Thu, Jun. 04",Germany ramps up EV incentives,https://seekingalpha.com/news/3580515-germany-ramps-up-ev-incentives?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:57
57,"Thu, Jun. 04",Nikola goes public via VectoIQ merger,https://seekingalpha.com/news/3580494-nikola-goes-public-via-vectoiq-merger?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:58
58,"Thu, Jun. 04",GM plots electric van to preempt Tesla,https://seekingalpha.com/news/3580326-gm-plots-electric-van-to-preempt-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:59
59,"Tue, Jun. 02",Cities push ahead with Tesla truck factory pursuit,https://seekingalpha.com/news/3579523-cities-push-ahead-tesla-truck-factory-pursuit?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:60
60,"Tue, Jun. 02",China auto sales gain for second month in a row,https://seekingalpha.com/news/3579488-china-auto-sales-gain-for-second-month-in-row?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:61
61,"Mon, Jun. 01",Rocket boost for Tesla,https://seekingalpha.com/news/3579213-rocket-boost-for-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:62
62,"Mon, Jun. 01",Tesla expected to deliver Model Ys faster,https://seekingalpha.com/news/3578919-tesla-expected-to-deliver-model-ys-faster?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:63
63,"Sat, May 30",SpaceX liftoff a success after week's earlier scrapping,https://seekingalpha.com/news/3578831-spacex-liftoff-success-after-weeks-earlier-scrapping?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:64
64,"Fri, May 29",EV sales forecast to soar in 2021,https://seekingalpha.com/news/3578754-ev-sales-forecast-to-soar-in-2021?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:65
65,"Fri, May 29",SpaceX borrows some Tesla employees,https://seekingalpha.com/news/3578577-spacex-borrows-tesla-employees?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:66
66,"Thu, May 28",Elon Musk earns $775M performance-based payout,https://seekingalpha.com/news/3578470-elon-musk-earns-775m-performance-based-payout?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:67
67,"Wed, May 27","In volatile market, Morgan Stanley chooses secular growth winners",https://seekingalpha.com/news/3578014-in-volatile-market-morgan-stanley-chooses-secular-growth-winners?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:Archived|line:68
68,"Wed, May 27",Tesla catches PT boost from Wedbush,https://seekingalpha.com/news/3577827-tesla-catches-pt-boost-from-wedbush?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:69
69,"Wed, May 27","Tesla to cut prices for some models in North America, China",https://seekingalpha.com/news/3577739-tesla-to-cut-prices-for-models-in-north-america-china?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:70
70,"Sat, May 23",Tesla seeks to build Model 3 with LFP batteries in China - Reuters,https://seekingalpha.com/news/3577314-tesla-seeks-to-build-model-3-lfp-batteries-in-china-reuters?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:71
71,"Fri, May 22",Online auto shopping on the rise,https://seekingalpha.com/news/3577240-online-auto-shopping-on-rise?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:72
72,"Thu, May 21",Ackman tempts Musk to join cities with Howard Hughes presence,https://seekingalpha.com/news/3576892-ackman-tempts-musk-to-join-cities-howard-hughes-presence?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:73
73,"Thu, May 21",Construction buzzing at Tesla's Shanghai Gigafactory - Electrek,https://seekingalpha.com/news/3576856-construction-buzzing-teslas-shanghai-gigafactory-electrek?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:74
74,"Thu, May 21",Does Tesla need an operational leader?,https://seekingalpha.com/news/3576805-tesla-need-operational-leader?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:75
75,"Thu, May 21",Tesla gives anxious Fremont workers an option,https://seekingalpha.com/news/3576750-tesla-gives-anxious-fremont-workers-option?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:76
76,"Wed, May 20",Tesla abandons lawsuit to keep California plant open - CNBC,https://seekingalpha.com/news/3576600-tesla-abandons-lawsuit-to-keep-california-plant-open-cnbc?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:77
77,"Tue, May 19",Tesla's China registrations slump in April,https://seekingalpha.com/news/3575786-teslas-china-registrations-slump-in-april?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:78
78,"Mon, May 18",Morgan Stanley still stuck in neutral on Tesla,https://seekingalpha.com/news/3575663-morgan-stanley-still-stuck-in-neutral-on-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:79
79,"Mon, May 18",Expansion could be back on for Nevada Gigafactory,https://seekingalpha.com/news/3575657-expansion-be-back-on-for-nevada-gigafactory?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:80
80,"Mon, May 18",Tesla eyes S&P 500 inclusion,https://seekingalpha.com/news/3575571-tesla-eyes-s-and-p-500-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:81
81,"Sun, May 17",Tesla tells employees it received a nod to reopen California plant,https://seekingalpha.com/news/3575354-tesla-tells-employees-received-nod-to-reopen-california-plant?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:82
82,"Sat, May 16","Appaloosa Management buys Twitter, exits Caesars, cuts Facebook",https://seekingalpha.com/news/3575343-appaloosa-management-buys-twitter-exits-caesars-cuts-facebook?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:83
83,"Sat, May 16",Saudi sovereign Fund adds Facebook and Disney to holdings,https://seekingalpha.com/news/3575337-saudi-sovereign-fund-adds-facebook-and-disney-to-holdings?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:84
84,"Fri, May 15","Panasonic resumes work at Tesla Nevada facility, delays New York start",https://seekingalpha.com/news/3575328-panasonic-resumes-work-tesla-nevada-facility-delays-new-york-start?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:85
85,"Fri, May 15",Austin expected to land next Tesla Gigafactory,https://seekingalpha.com/news/3575202-austin-expected-to-land-next-tesla-gigafactory?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:86
86,"Thu, May 14",Tesla plans for electrifying reveal at Battery Day,https://seekingalpha.com/news/3574563-tesla-plans-for-electrifying-reveal-battery-day?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:87
87,"Thu, May 14",Tesla employees face return to work dilemma,https://seekingalpha.com/news/3574286-tesla-employees-face-return-to-work-dilemma?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:88
88,"Wed, May 13",Tesla dips after California AG chimes in,https://seekingalpha.com/news/3573986-tesla-dips-after-california-ag-chimes-in?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:89
89,"Wed, May 13",Tesla tipped to cut Model 3 prices in China,https://seekingalpha.com/news/3573933-tesla-tipped-to-cut-model-3-prices-in-china?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:90
90,"Wed, May 13",Tesla can reopen Fremont with additional precautions,https://seekingalpha.com/news/3573713-tesla-can-reopen-fremont-additional-precautions?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:91
91,"Tue, May 12",Tesla gains as POTUS backs Fremont opening,https://seekingalpha.com/news/3573417-tesla-gains-potus-backs-fremont-opening?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:92
92,"Mon, May 11",Alameda doesn't handcuff Tesla,https://seekingalpha.com/news/3573161-alameda-doesnt-handcuff-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:93
93,"Mon, May 11","Tesla ignores local authorities, to restart production in Fremont",https://seekingalpha.com/news/3573067-tesla-ignores-local-authorities-to-restart-production-in-fremont?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:94
94,"Mon, May 11",Texas pursues Tesla,https://seekingalpha.com/news/3572834-texas-pursues-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:95
95,"Mon, May 11",Tesla lower as relocation risk sized up,https://seekingalpha.com/news/3572621-tesla-lower-relocation-risk-sized-up?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:96
96,"Mon, May 11",Tesla model 3 sales in China plunge 64% in April,https://seekingalpha.com/news/3572467-tesla-model-3-sales-in-china-plunge-64-in-april?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:97
97,"Sat, May 09",Musk says Tesla is done with California,https://seekingalpha.com/news/3572392-musk-says-tesla-is-done-california?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:98
98,"Sat, May 09",Tesla secures lending line in China,https://seekingalpha.com/news/3572384-tesla-secures-lending-line-in-china?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:99
99,"Fri, May 08",Tesla not yet cleared to reopen California plant,https://seekingalpha.com/news/3572372-tesla-not-yet-cleared-to-reopen-california-plant?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:100
100,"Fri, May 08",Tesla rallies right past report of European chief exit,https://seekingalpha.com/news/3572232-tesla-rallies-right-past-report-of-european-chief-exit?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:101
101,"Fri, May 08",Tesla set to restart operations at Fremont,https://seekingalpha.com/news/3572009-tesla-set-to-restart-operations-fremont?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:102
102,"Thu, May 07",Tesla extends break at Shanghai plant,https://seekingalpha.com/news/3571321-tesla-extends-break-shanghai-plant?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:103
103,"Thu, May 07",Green shoots in China auto,https://seekingalpha.com/news/3571207-green-shoots-in-china-auto?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:104
104,"Wed, May 06",Model 3 tops the list in collapsed U.K. market,https://seekingalpha.com/news/3570007-model-3-tops-list-in-collapsed-u-k-market?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:105
105,"Tue, May 05","Ferrari tops Detroit Three, Tesla tops all",https://seekingalpha.com/news/3568836-ferrari-tops-detroit-three-tesla-tops-all?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:106
106,"Mon, May 04",Tesla +6% with Musk tweet in rear-view mirror,https://seekingalpha.com/news/3568322-teslaplus-6-musk-tweet-in-rear-view-mirror?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:107
107,"Mon, May 04",EVs remain a priority in China,https://seekingalpha.com/news/3568072-evs-remain-priority-in-china?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:108
108,"Sun, May 03",A glut for the U.S. auto industry,https://seekingalpha.com/news/3567994-glut-for-u-s-auto-industry?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:109
109,"Sat, May 02",Tesla applies to provide electricity in U.K.- Telegraph,https://seekingalpha.com/news/3567984-tesla-applies-to-provide-electricity-in-u-k-telegraph?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:110
110,"Sat, May 02",Tesla extends timeline on return to work,https://seekingalpha.com/news/3567948-tesla-extends-timeline-on-return-to-work?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:111
111,"Fri, May 01",Elon Musk downgrades Tesla (updated),https://seekingalpha.com/news/3567716-elon-musk-downgrades-tesla-updated?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:112
112,"Fri, May 01",Greenlight talks the longs and shorts of Q1,https://seekingalpha.com/news/3567693-greenlight-talks-longs-and-shorts-of-q1?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:113
113,"Fri, May 01",Einhorn's Greenlight Capital slips again in April,https://seekingalpha.com/news/3567657-einhorns-greenlight-capital-slips-again-in-april?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:114
114,"Fri, May 01",Tesla drops Model 3 prices in China for subsidy inclusion,https://seekingalpha.com/news/3567607-tesla-drops-model-3-prices-in-china-for-subsidy-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:115
115,"Thu, Apr. 30",Einhorn barks at Musk again,https://seekingalpha.com/news/3567084-einhorn-barks-musk-again?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:116
116,"Thu, Apr. 30",Tesla pares early pop after the dust settles,https://seekingalpha.com/news/3567031-tesla-pares-early-pop-after-dust-settles?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:117
