,date,name,href
0,"Today, 3:48 PM",Sunrun deal for Vivint to top Tesla as rooftop solar juggernaut,https://seekingalpha.com/news/3589237-sunrun-deal-for-vivint-to-top-tesla-rooftop-solar-juggernaut?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:1
1,"Today, 10:21 AM",Tesla bears capitulate for the near term,https://seekingalpha.com/news/3589120-tesla-bears-capitulate-for-near-term?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:2
2,"Yesterday, 1:16 PM",Tesla market cap crown brings focus on valuation,https://seekingalpha.com/news/3588818-tesla-market-cap-crown-brings-focus-on-valuation?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:3
3,"Yesterday, 8:41 AM","Tesla +6% after JMP hikes price target to $1,500",https://seekingalpha.com/news/3588673-teslaplus-6-after-jmp-hikes-price-target-to-1500?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:4
4,"Yesterday, 3:26 AM",Musk teases Tesla shortsellers with 'Short Shorts',https://seekingalpha.com/news/3588579-musk-teases-tesla-shortsellers-short-shorts?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:5
5,"Thu, Jul. 02",Musk tweaks SEC again with Tesla shares cruising,https://seekingalpha.com/news/3588459-musk-tweaks-sec-again-tesla-shares-cruising?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:6
6,"Thu, Jul. 02",Tesla revamps plan for Giga Berlin,https://seekingalpha.com/news/3588423-tesla-revamps-plan-for-giga-berlin?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:7
7,"Thu, Jul. 02",Tesla Q2 deliveries top 90K vs. 83K estimate; shares up 10%,https://seekingalpha.com/news/3588220-tesla-q2-deliveries-top-90k-vs-83k-estimate-shares-up-10?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:8
8,"Wed, Jul. 01",Some clean energy ETFs shine in brutal first half for fossil fuels,https://seekingalpha.com/news/3587797-clean-energy-etfs-shine-in-brutal-first-half-for-fossil-fuels?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:9
9,"Wed, Jul. 01",Tesla rallies more to become the most valuable automaker,https://seekingalpha.com/news/3587760-tesla-rallies-to-become-valuable-automaker?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:10
10,"Tue, Jun. 30","Tesla investors frontrun deliveries report, potential S&P 500 inclusion",https://seekingalpha.com/news/3587442-tesla-investors-frontrun-deliveries-report-potential-s-and-p-500-inclusion?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:11
11,"Tue, Jun. 30",Germany called a bright spot for Tesla,https://seekingalpha.com/news/3587359-germany-called-bright-spot-for-tesla?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:12
12,"Tue, Jun. 30",'Breaking even is looking super tight' - Musk,https://seekingalpha.com/news/3587191-breaking-even-is-looking-super-tight-musk?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:13
13,"Mon, Jun. 29",EV pickups look for mainstream appeal,https://seekingalpha.com/news/3587122-ev-pickups-look-for-mainstream-appeal?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:14
14,"Mon, Jun. 29",EV names lead auto sector higher,https://seekingalpha.com/news/3586938-ev-names-lead-auto-sector-higher?source=content_type:react|section:News|sectionAsset:News|first_level_url:symbol|button:Title|lock_status:No|line:15
